datetime,actual,base,ridge,low,daily,high,hour,cap,rolling_mean_hour_3d,rolling_mean_hour_7d,rolling_mean_hour_14d,ratio_mean_hour_3d,ratio_mean_hour_7d,ratio_mean_hour_14d,prob_low_price,solarradiation,feelslike,rdn_demand,rdn_supply,demand_lag_24,supply_lag_24,price_lag_24,ratio_lag_24,windspeed,windgust,winddir,cloudcover,uvindex,precip,garpok_volume,vdr_supply,vdr_demand,is_weekend,is_off_day,is_summer,day_of_week_num
2026-06-10 16:00:00,2909.0,5278.435611557496,5199.462339254884,2910.356169627442,3211.028601307063,3211.028601307063,16,15000.0,2565.0,1809.5942857142857,1750.94,0.1709999999999997,0.1206396190476191,0.1167293333333333,0.090023674,702.0,26.3,3489.9,3489.9,3622.3,3622.3,3401.0,0.2267333333333333,6.8,20.5,53.0,16.0,0.0,0.1,4878.3,600.0,1176.0,0,0,1,2
2026-06-10 17:00:00,5816.0,5407.490052507317,5462.768839588735,5462.768839588735,5049.178986626887,5049.178986626887,17,15000.0,4310.0,3490.714285714286,3442.9278571428576,0.2873333333333335,0.2327142857142857,0.2295285238095238,0.016706318,598.0,25.3,3618.9,3618.9,3626.6,3626.6,5340.0,0.356,6.9,21.2,65.0,2.0,0.0,0.0,4876.0,2900.0,7000.0,0,0,1,2
2026-06-10 18:00:00,7982.34,6381.156179002615,6290.62682657686,6290.62682657686,6324.656617986395,6324.656617986395,18,15000.0,6114.546666666668,5903.377142857143,6008.545714285714,0.4076364444444443,0.3935584761904761,0.4005697142857142,0.00043844015,457.0,25.3,3893.7,3893.7,3746.4,3746.4,6744.64,0.4496426666666667,5.1,19.8,73.0,1.0,0.0,0.0,4539.4,5766.0,7399.99,0,0,1,2
2026-06-10 19:00:00,8867.04,9640.951855737372,8749.573950219848,8749.573950219848,8852.932112598108,8852.932112598108,19,15000.0,7966.0,7497.142857142857,8426.214285714286,0.5310666666666665,0.4998095238095237,0.561747619047619,4.8054917e-05,303.0,25.0,3770.4,3770.4,3625.0,3625.0,7999.0,0.5332666666666667,5.1,14.4,42.0,2.0,0.0,0.0,4428.3,6000.0,7932.0,0,0,1,2
2026-06-10 20:00:00,11100.0,9735.902778885817,9381.411255167606,9381.411255167606,9557.949380868049,9557.949380868049,20,15000.0,9249.333333333334,8519.714285714286,9648.763571428572,0.6166222222222221,0.5679809523809524,0.6432509047619047,2.537409e-05,152.0,24.4,3796.8,3796.8,3663.3,3663.3,9449.0,0.6299333333333333,6.6,13.0,41.0,4.0,0.0,0.0,4394.3,6900.0,8730.0,0,0,1,2
2026-06-10 21:00:00,12501.0,10209.23023898884,10522.63869820974,10522.63869820974,10833.474234352081,10833.474234352081,21,15000.0,10532.56,9730.24,11157.772857142856,0.7021706666666665,0.6486826666666666,0.7438515238095239,3.4525365e-05,36.0,22.7,3889.0,3889.0,3569.4,3569.4,9931.69,0.6621126666666667,8.0,15.1,84.0,19.0,0.0,0.0,4478.8,6001.12,10599.0,0,0,1,2
2026-06-10 22:00:00,11112.0,9022.144682581664,9123.631123541521,9123.631123541521,9406.104088640719,9406.104088640719,22,15000.0,9296.666666666666,8929.42857142857,10336.42857142857,0.6197777777777776,0.5952952380952381,0.6890952380952381,4.33777e-05,0.0,21.6,3716.7,3716.7,3479.8,3479.8,9101.0,0.6067333333333333,6.9,15.5,115.0,20.0,0.0,0.0,4426.7,5000.0,11947.0,0,0,1,2
2026-06-10 23:00:00,8423.0,7641.007723019099,7544.229064601825,7544.229064601825,7650.373719961819,7650.373719961819,23,15000.0,7510.896666666667,7295.67,8038.725714285714,0.5007264444444444,0.486378,0.5359150476190476,0.00012425616,0.0,20.9,3193.8,3193.8,2972.9,2972.9,7239.0,0.4826,6.4,12.2,140.0,10.0,0.0,0.0,4000.0,5600.0,10611.0,0,0,1,2
2026-06-11 00:00:00,14976.73,7655.287312454229,6919.428866790156,6919.428866790156,6923.976150987061,6923.976150987061,0,15000.0,6823.333333333333,8194.89,7489.475,0.4548888888888893,0.546326,0.4992983333333333,0.0005766008,0.0,20.4,3265.9,3265.9,2993.7,2993.7,6800.0,0.4533333333333333,6.2,11.5,147.0,2.0,0.0,0.0,3418.1,1238.0,14976.73,0,0,1,3
2026-06-11 01:00:00,7520.0,6838.522021273491,6072.364947123391,6072.364947123391,5929.062254591336,5929.062254591336,1,15000.0,6237.666666666667,5721.714285714285,5723.0,0.4158444444444442,0.381447619047619,0.3815333333333333,0.010147013,0.0,20.1,2841.6,2841.6,2637.6,2637.6,5400.0,0.36,4.7,11.2,152.0,2.0,0.0,0.0,3518.9,1238.0,14976.73,0,0,1,3
2026-06-11 02:00:00,6734.0,5917.296456623316,4766.764816158828,4766.764816158828,4203.221869495841,4203.221869495841,2,15000.0,4833.333333333333,4135.285714285715,4413.142857142857,0.3222222222222222,0.2756857142857142,0.2942095238095238,0.020452939,0.0,19.7,2638.0,2638.0,2423.2,2423.2,4500.0,0.3,4.8,7.9,167.0,2.0,0.0,0.0,3451.2,1710.0,7520.0,0,0,1,3
2026-06-11 03:00:00,6300.0,5895.488611882104,4560.284135531069,4560.284135531069,3849.4513815251457,3849.4513815251457,3,15000.0,4633.333333333333,3937.142857142857,4287.071428571428,0.3088888888888889,0.2624761904761905,0.2858047619047619,0.043723088,0.0,18.2,2542.9,2542.9,2325.8,2325.8,3900.0,0.26,3.8,11.2,183.0,5.0,0.0,0.0,3377.0,2693.6,6734.0,0,0,1,3
