3m,14d,all,bias3,low,summer,cap,eve,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours_name,hours,gate,th,source_bins,ratio_bins
6.33991920290014,11.090985212042929,6.399492379391961,-49.60755422215271,48.85662364643063,34.34662188394294,1.5748160061265095,2.9161028052749214,33,"hour,source_bin",wide,default,34,median,0.3,evening,evening,absbias,300,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.33995144824937,11.090305605633926,6.3995242202241025,-49.58712975550341,48.85662364643063,34.34662188394294,1.5681252421688472,2.9161843108322976,40,"hour,source_bin",wide,default,34,median,0.25,evening,evening,absbias,250,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.3399653441376085,11.09466887283642,6.399537941788775,-49.96106378928445,48.85662364643063,34.34662188394294,1.5819266671091556,2.916219435032943,49,"hour,source_bin",wide,default,13,median,0.25,evening,evening,absbias,250,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.339969347654393,11.08905417530604,6.399541895081542,-50.09495979174182,48.69083452790108,34.11141248352389,1.5505500562664434,2.9446944417686596,270,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.15,peakerr,peakerr,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3399865843834515,11.100505725940717,6.399558915576272,-48.378857164367176,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,15,"hour,source_ratio_bin,weekend",wide,coarse,3,median,-0.15,h78917,"7-9,17",wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340006256722595,11.091793359816867,6.399578341126421,-48.52064653368392,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,15,"hour,source_ratio_bin,weekend",wide,coarse,3,mean,-0.15,h78917,"7-9,17",wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340008965392838,11.10319096641513,6.399581015816463,-46.253313519720315,49.02572065572383,34.67547075295178,1.5505500562664434,2.9446944417686596,308,"hour,source_bin",wide,default,3,median,0.15,lowday,lowday,wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.3400142577116405,11.108812028345719,6.399586241743262,-48.08834265502853,49.12486398970927,34.84892197053882,1.5585924927564014,2.9301121325361272,745,"hour,source_bin",wide,default,13,median,0.08,all,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340015786622756,11.13268321824153,6.399587751474227,-44.201161326866234,50.59766926420232,36.174795343439406,1.5505500562664434,2.9446944417686596,443,"hour,source_bin",wide,default,21,mean,0.2,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340016715833781,11.088223331845287,6.39958866902832,-48.54220660330979,49.00665745169614,34.37029159111531,1.5505500562664434,2.9446944417686596,36,"hour,source_ratio_bin,weekend",wide,coarse,13,mean,-0.2,morning,morning,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340016715833781,11.088223331845287,6.39958866902832,-48.54220660330979,49.00665745169614,34.37029159111531,1.5505500562664434,2.9446944417686596,36,"hour,source_ratio_bin,weekend",wide,coarse,21,mean,-0.2,morning,morning,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340016715833781,11.088223331845287,6.39958866902832,-48.54220660330979,49.00665745169614,34.37029159111531,1.5505500562664434,2.9446944417686596,36,"hour,source_ratio_bin,weekend",wide,coarse,34,mean,-0.2,morning,morning,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340021532581375,11.086285575351678,6.39959342534994,-48.75316108738238,48.72698770066507,34.19526579118288,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.1,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340022373048034,11.132886479490633,6.399594255272965,-44.22285395301189,50.59871835371237,36.181232277933454,1.5505500562664434,2.9446944417686596,443,"hour,source_bin",wide,default,34,mean,0.2,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.3400283446281405,11.086592188803108,6.399600151939751,-48.200519176627004,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,33,"hour,source_ratio_bin",wide,default,3,mean,0.2,night,night,wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.3400309196717615,11.0821617820454,6.3996026946795155,-46.886018432326125,48.81420523227867,34.34662188394294,1.5505500562664434,2.9446944417686596,37,"hour,source_bin,weekend",wide,default,3,mean,0.2,lowday,lowday,absbias,700,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340043864829016,11.084147666814816,6.3996154774401,-48.27219299624958,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,24,"hour,source_ratio_bin,weekend",wide,coarse,3,median,-0.1,h78917,"7-9,17",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3400505800641636,11.086527519096059,6.3996221084327924,-48.75251229871942,48.731614400005654,34.20292773383403,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.1,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3400505800641636,11.086527519096059,6.3996221084327924,-48.75251229871942,48.731614400005654,34.20292773383403,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.1,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3400505800641636,11.086527519096059,6.3996221084327924,-48.75251229871942,48.731614400005654,34.20292773383403,1.5505500562664434,2.9446944417686596,63,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.1,h789111718,"7-9,11,17,18",wmape,25,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.3400645523010155,11.137874386835405,6.399635905388287,-46.8494970517368,49.75774087677509,35.448386107579125,1.5816312444261917,2.9323835019649565,1010,"hour,source_bin",wide,default,34,mean,0.12,all,all,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340080078768769,11.104586012133359,6.399651237076897,-47.930506575819855,49.07277468457372,34.930869339820376,1.558396899331328,2.938739016041472,515,"hour,source_bin,weekend",wide,default,34,median,0.08,all,all,absbias,150,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340080390918097,11.089943517485848,6.399651545310321,-50.10392696205513,48.69018598276383,34.139576422196335,1.5505500562664434,2.9446944417686596,270,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.15,peakerr,peakerr,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340080390918097,11.089943517485848,6.399651545310321,-50.10392696205513,48.69018598276383,34.139576422196335,1.5505500562664434,2.9446944417686596,270,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.15,peakerr,peakerr,wmape,30,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340081911317632,11.073621771615267,6.39965304663648,-49.8799168221875,48.681770529899005,33.84530046382564,1.5505500562664434,2.9446944417686596,253,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.15,peakerr,peakerr,wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
