kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
hour,6.324912682214011,11.074615881024835,6.38467411512719,-50.32756086698408,66,55,median,-0.2,11-15,absbias,100,-0.0034995608672385714,0.0,-0.0034556589649277214
hour,6.324914431125141,11.075683264537327,6.384675842098275,-48.03388669461361,518,34,mean,0.05,10-18,absbias,100,-0.003497811956108876,0.001067383512491915,-0.003453931993842474
day,6.324920156005644,11.074615881024835,6.384681495160296,-50.2977086699307,20,8,mean,0.3,19-23,absbias,250,-0.0034920870756058875,0.0,-0.0034482789318213136
hour,6.324929368835801,11.059823827348692,6.384690592415732,-50.2773110767917,310,2,mean,-0.1,10-18,wmape,35,-0.003482874245448464,-0.014792053676142558,-0.003439181676386127
hour,6.324929368835801,11.059823827348692,6.384690592415732,-50.2773110767917,310,2,median,-0.1,10-18,wmape,35,-0.003482874245448464,-0.014792053676142558,-0.003439181676386127
hour,6.324932575909357,11.07598415902765,6.384693759256635,-47.85140571969774,585,55,mean,0.05,10-18,absbias,100,-0.003479667171892409,0.0013682780028148045,-0.003436014835482837
hour,6.32493979344532,11.075294925939652,6.384700886248791,-50.7867151973356,402,5,median,-0.2,11-15,wmape,10,-0.003472449635929742,0.0006790449148166289,-0.0034288878433264003
day,6.324995346368819,11.074005338081774,6.384755742262274,-49.31668955477935,644,21,mean,0.1,10-16,none,0,-0.003416896712430173,-0.0006105429430611764,-0.003374031829843638
day,6.324996229299859,11.07482380198804,6.384756614116966,-49.22097346604055,644,34,mean,0.1,10-16,none,0,-0.003416013781390781,0.00020792096320576547,-0.0033731599751520847
hour,6.324996649596261,11.089002469003919,6.38475702914076,-50.76771237056874,72,5,median,-0.3,11-15,absbias,250,-0.003415593484988655,0.014386587979084098,-0.0033727449513580865
day,6.3250204916595445,11.049342334987369,6.384780572105965,-50.38229536378707,20,5,mean,0.5,19-23,wmape,12,-0.0033917514217050027,-0.025273546037466232,-0.003349201986152295
day,6.325049785611571,11.076689961725275,6.384809498566106,-49.3514980107801,119,1,mean,0.05,10-16,absbias,250,-0.003362457469678226,0.0020740807004404616,-0.0033202755260113292
day,6.325070954101339,11.074615881024835,6.384830401497707,-50.46950122281598,15,14,mean,0.3,19-23,absbias,250,-0.003341288979910928,0.0,-0.003299372594410599
day,6.325070954101339,11.074615881024835,6.384830401497707,-50.46950122281598,15,21,mean,0.3,19-23,absbias,250,-0.003341288979910928,0.0,-0.003299372594410599
day,6.325070954101339,11.074615881024835,6.384830401497707,-50.46950122281598,15,34,mean,0.3,19-23,absbias,250,-0.003341288979910928,0.0,-0.003299372594410599
hour,6.32512451706486,11.06412764796084,6.3848832925152115,-50.68293098863418,460,8,median,-0.2,11-15,none,0,-0.0032877260163894917,-0.010488233063995267,-0.0032464815769062128
hour,6.325136793612608,11.074615881024835,6.384895415053977,-50.340116989523224,67,34,median,-0.2,11-15,absbias,100,-0.003275449468641334,0.0,-0.0032343590381405107
day,6.325150577473416,11.074404491358457,6.384909025996601,-49.073024621118115,696,5,mean,0.05,all,absbias,100,-0.003261665607833919,-0.0002113896663775705,-0.0032207480955168677
day,6.325156256182051,11.072692202260805,6.384914633465981,-48.554376754341995,2208,5,mean,0.05,all,none,0,-0.003255986899198149,-0.001923678764029546,-0.003215140626136481
day,6.325157513274525,11.074615881024835,6.384915874788259,-50.94396867575329,15,14,mean,0.5,19-23,absbias,250,-0.0032547298067244768,0.0,-0.003213899303858625
day,6.325157513274525,11.074615881024835,6.384915874788259,-50.94396867575329,15,21,mean,0.5,19-23,absbias,250,-0.0032547298067244768,0.0,-0.003213899303858625
