candidate,group_by,rolling,stat,thr,hours,distop,distthr,alpha,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
f_price_lag_24,hour_sr_weekend,8,median,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,13,mean,100,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,13,mean,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,13,median,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,21,mean,100,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,21,mean,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,21,median,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,34,mean,100,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,34,mean,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,34,median,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,55,mean,100,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,55,mean,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,55,median,250,peakerr,ge_rel,0.1,0.2,8,6.298143127030592,11.035886677132849,6.358240383334525,-48.44916255126316,-0.017565912739174294,0.0,-0.017345548809428735
f_price_lag_24,hour_sr_weekend,3,mean,100,night,ge_rel,0.1,0.2,6,6.298209119901359,10.90996719300161,6.358305548326401,-48.35973841884905,-0.017499919868407154,-0.12591948413123966,-0.017280383817553258
f_price_lag_24,hour_sr_weekend,8,mean,100,all,ge_rel,0.1,0.2,10,6.298262271341168,11.035886677132849,6.358358032982747,-48.53649208680262,-0.017446768428598602,0.0,-0.017227899161206928
f_price_lag_24,hour_sr_weekend,13,mean,100,all,ge_rel,0.1,0.2,10,6.298262271341168,11.035886677132849,6.358358032982747,-48.53649208680262,-0.017446768428598602,0.0,-0.017227899161206928
f_price_lag_24,hour_sr_weekend,21,mean,100,all,ge_rel,0.1,0.2,10,6.298262271341168,11.035886677132849,6.358358032982747,-48.53649208680262,-0.017446768428598602,0.0,-0.017227899161206928
f_price_lag_24,hour_sr_weekend,34,mean,100,all,ge_rel,0.1,0.2,10,6.298262271341168,11.035886677132849,6.358358032982747,-48.53649208680262,-0.017446768428598602,0.0,-0.017227899161206928
f_price_lag_24,hour_sr_weekend,55,mean,100,all,ge_rel,0.1,0.2,10,6.298262271341168,11.035886677132849,6.358358032982747,-48.53649208680262,-0.017446768428598602,0.0,-0.017227899161206928
f_price_lag_24,hour_sr_weekend,5,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,8,mean,100,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,8,mean,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,8,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,13,mean,100,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,13,mean,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,13,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,21,mean,100,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,21,mean,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,21,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,34,mean,100,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,34,mean,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,34,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,55,mean,100,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,55,mean,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,55,median,250,peakerr,ge_rel,0.1,0.3,8,6.298284008612807,11.035886677132849,6.358379497560865,-47.90620932968108,-0.017425031156959037,0.0,-0.017206434583089347
f_price_lag_24,hour_sr_weekend,3,mean,500,all,ge_abs,1000.0,0.2,10,6.2983321817430635,11.010681363809272,6.358427066360424,-48.65371911907421,-0.017376858026702635,-0.02520531332357656,-0.01715886578353043
f_price_lag_24,hour_cr,13,mean,-250,19-23,le_abs,1000.0,1.0,38,6.298419991388084,11.035886677132849,6.358513774435676,-48.52134007250583,-0.017289048381682548,0.0,-0.01707215770827819
f_price_lag_24,hour_cr,21,mean,-250,19-23,le_abs,1000.0,1.0,38,6.298419991388084,11.035886677132849,6.358513774435676,-48.52134007250583,-0.017289048381682548,0.0,-0.01707215770827819
f_price_lag_24,hour_cr,34,mean,-250,19-23,le_abs,1000.0,1.0,38,6.298419991388084,11.035886677132849,6.358513774435676,-48.52134007250583,-0.017289048381682548,0.0,-0.01707215770827819
