kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.318504705424169,11.085863407084691,6.378346526243635,-48.224936602987476,49.01385350947458,35.01281473527841,1.5505500562664434,2.9446944417686596,986,8,median,0.1,7-18,none,0,"hour,source_bin,weekend",-0.009907537657080745,0.011247526059856128
group,6.318614872777477,11.105399061889997,6.37845531155029,-49.265419114733994,48.98520964583503,34.74261948719692,1.5630202243216387,2.9375718430644575,2097,8,mean,0.05,all,none,0,"hour,source_bin",-0.009797370303772368,0.030783180865162407
group,6.3186990650967685,11.080916100849898,6.378538447679071,-48.45274717089866,48.808950045684966,34.57422790614231,1.5505500562664434,2.9446944417686596,309,3,median,0.1,10-16,wmape,20,"hour,source_bin",-0.009713177984481014,0.00630021982506257
group,6.318724069455785,11.110454526836854,6.3785631383590395,-48.423585405733746,49.27492764797846,35.16067319112336,1.5505500562664434,2.9402303044940648,509,8,mean,0.1,all,wmape,15,"hour,source_bin",-0.009688173625464813,0.03583864581201901
group,6.3187274643228974,11.085444474648689,6.37856649063763,-48.8543471287041,48.7748830305397,34.585700594384285,1.5505500562664434,2.9446944417686596,385,2,mean,0.05,10-18,wmape,15,"hour,source_bin",-0.009684778758352053,0.010828593623854132
group,6.3187274643228974,11.085444474648689,6.37856649063763,-48.8543471287041,48.7748830305397,34.585700594384285,1.5505500562664434,2.9446944417686596,385,2,median,0.05,10-18,wmape,15,"hour,source_bin",-0.009684778758352053,0.010828593623854132
group,6.318731778633331,11.083580278934466,6.378570750825148,-47.16304802630556,49.12778433841021,34.82036500829523,1.5505500562664434,2.9446944417686596,396,3,mean,0.1,10-16,wmape,15,"hour,source_ratio_bin",-0.009680464447918702,0.008964397909631217
group,6.318739214628212,11.081215274021861,6.378578093535663,-48.442332756245676,48.808950045684966,34.57422790614231,1.5505500562664434,2.9446944417686596,312,3,median,0.1,10-18,wmape,20,"hour,source_bin",-0.009673028453037524,0.006599392997026499
group,6.318758109286411,11.096326947333994,6.378596751160854,-49.901571217658606,49.18117956818581,34.785833827997884,1.5588808793292712,2.929169493242305,348,8,median,0.1,all,absbias,250,"hour,source_bin",-0.009654133794838593,0.021711066309158866
group,6.318773410021851,11.083611757187922,6.378611859948956,-49.62274537731962,48.94989008966474,34.696472405607395,1.5574827874163302,2.934157786604934,2097,8,median,0.05,all,none,0,"hour,source_bin",-0.009638833059398166,0.008995876163087502
