3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_days,beta,hours_name,hours,gate,th
6.448220307658281,11.26762247429812,6.50643484953802,-48.50167997805588,50.284440108283476,36.373057080602436,1.558266052465585,2.991853148327597,161,10,-0.3,nooneve,"11-15,17-18",absbias,100
6.44825556777041,11.274786879659224,6.5064696673129365,-48.45747146371063,50.60045815437144,36.49960325204951,1.558266052465585,2.991853148327597,147,5,-0.2,nooneve,"11-15,17-18",absbias,150
6.448559684303777,11.274869249164144,6.506769968712107,-47.88150182178112,50.84591771572404,36.43811308984296,1.558266052465585,2.991853148327597,112,21,-0.3,nooneve,"11-15,17-18",absbias,100
6.448902928488814,11.280306518147059,6.50710890690755,-48.57642782446094,50.60479085426282,36.39253425774277,1.558266052465585,2.991853148327597,203,5,-0.15,nooneve,"11-15,17-18",absbias,100
6.449048171003642,11.272690034978554,6.507252327358712,-48.401595356276374,50.65169862556623,36.45275062171561,1.558266052465585,2.991853148327597,147,5,-0.15,nooneve,"11-15,17-18",absbias,150
6.449091420082108,11.254184795333606,6.507295033878586,-48.931705662337734,50.24243381723886,35.94860248455475,1.558266052465585,2.991853148327597,81,5,-0.15,day,10-18,absbias,250
6.44922408254308,11.274869249164144,6.507426032092352,-48.01840842506023,50.71144198026734,36.43811308984296,1.558266052465585,2.991853148327597,21,7,-0.3,nooneve,"11-15,17-18",absbias,250
6.449279033740677,11.26555552198232,6.507480293928566,-47.938406350784035,49.977278655055514,36.261143248234454,1.558266052465585,2.991853148327597,153,14,-0.3,day,10-18,absbias,100
6.449387687110447,11.274869249164144,6.50758758424457,-48.87619426784639,50.42225034898829,36.43811308984296,1.558266052465585,2.991853148327597,35,5,-0.3,nooneve,"11-15,17-18",absbias,300
6.449518013423713,11.26203612695536,6.507716275617542,-48.1093450949029,50.493884229885545,36.20088471135614,1.558266052465585,2.991853148327597,119,7,-0.2,nooneve,"11-15,17-18",absbias,150
6.4495701025494245,11.270212385573233,6.507767711286494,-48.10777169390402,50.560101322426284,36.34962816903871,1.558266052465585,2.991853148327597,119,14,-0.15,nooneve,"11-15,17-18",absbias,100
6.449640542863727,11.239576820820037,6.5078372679288385,-48.859802529690384,50.83941504346813,36.26656807544109,1.558266052465585,2.992295469143291,13,3,0.5,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,15
6.449722413833495,11.267920776518954,6.507918111829368,-48.41736160661095,50.47126078595856,36.32930066686022,1.558266052465585,2.991853148327597,161,10,-0.2,nooneve,"11-15,17-18",absbias,100
6.449740509049389,11.264464912165518,6.507935980041238,-48.588046327430845,50.5999126193163,36.21897928513332,1.558266052465585,2.991853148327597,63,5,-0.1,nooneve,"11-15,17-18",absbias,250
6.449848631211447,11.274869249164144,6.5080427458135155,-47.940044859057686,50.629558270276874,36.43811308984296,1.558266052465585,2.991853148327597,77,14,-0.2,nooneve,"11-15,17-18",absbias,150
6.4498633660006215,11.274869249164144,6.508057295755133,-49.179017390551735,50.95520588545147,36.43811308984296,1.558266052465585,2.997172085214991,8,2,-0.3,night,"0-6,23",absbias,700
6.449917480253589,11.274869249164144,6.508110731146171,-47.06221740453014,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,35,21,-0.3,nooneve,"11-15,17-18",absbias,150
6.4502820099251625,11.283118796329198,6.5084706878022605,-48.47528708568194,50.5481688216962,36.50047461688248,1.558266052465585,2.991853148327597,210,7,-0.2,nooneve,"11-15,17-18",absbias,100
6.450285520494322,11.293690791774647,6.508474154331418,-48.57889891014669,50.512883726337584,36.684159778228086,1.558266052465585,2.991853148327597,210,7,-0.3,nooneve,"11-15,17-18",absbias,100
6.450292029636251,11.275604753555594,6.508480581816327,-48.46310042886944,50.68096915997342,36.34433058573644,1.558266052465585,2.991853148327597,203,5,-0.1,nooneve,"11-15,17-18",absbias,100
6.4503353158838515,11.274869249164144,6.508523325039049,-48.00397439859582,50.87905218805368,36.43811308984296,1.558266052465585,2.991853148327597,112,21,-0.2,nooneve,"11-15,17-18",absbias,100
6.45044174357913,11.293774010787939,6.508628417601589,-47.971040443380225,50.80882990713603,36.648642550718506,1.558266052465585,2.991853148327597,133,7,-0.3,nooneve,"11-15,17-18",wmape,8
6.450456684976176,11.274869249164144,6.508643171559189,-47.48905017322123,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,10,3,0.5,h78901117,"7-9,11,17",absbias,500
6.45047574562397,11.27120358454527,6.50866199309164,-48.34571924884211,50.72608052022789,36.4058979913817,1.558266052465585,2.991853148327597,147,5,-0.1,nooneve,"11-15,17-18",absbias,150
6.450546990591796,11.263477123226401,6.508732344293152,-48.1445216943694,50.59109083958594,36.22511389868773,1.558266052465585,2.991853148327597,119,7,-0.15,nooneve,"11-15,17-18",absbias,150
6.4505577308287805,11.246411222690252,6.508742949794136,-49.430149018575314,50.926628570954136,36.395775580735666,1.558266052465585,2.999251930388364,13,3,1.0,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,15
6.45056215416744,11.246444183081312,6.508747317642125,-48.85262055452727,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,5,3,1.0,h78901117,"7-9,11,17",wmape,15
6.450580404379884,11.291586791271309,6.508765338906115,-48.32628504529424,50.681493047902926,36.76466851329572,1.558266052465585,2.991853148327597,91,10,-0.3,nooneve,"11-15,17-18",absbias,150
6.4506151806456264,11.274869249164144,6.508799678904485,-48.66274798104967,50.54630860755985,36.43811308984296,1.558266052465585,2.991853148327597,35,5,-0.2,nooneve,"11-15,17-18",absbias,300
6.450622582825266,11.268660097709592,6.50880698822397,-48.04591344013121,50.30001327811932,36.3201331954373,1.558266052465585,2.991853148327597,153,14,-0.2,day,10-18,absbias,100
6.4506272627570045,11.276196691596539,6.508811609446083,-47.57254152570352,50.96330861303491,36.469263968631545,1.558266052465585,2.991853148327597,56,21,-0.3,nooneve,"11-15,17-18",wmape,8
6.45067668708298,11.270314391598799,6.508860413745142,-47.54526960533661,50.850445006805465,36.23498386134504,1.5681774028774778,2.9929698793522026,156,7,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.450695093501907,11.274869249164144,6.508878589256012,-47.71488504142728,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,10,3,0.3,h78901117,"7-9,11,17",absbias,500
6.450717964569542,11.268561386896641,6.5089011734066835,-48.37326255596503,50.57436179062801,36.32177925523495,1.558266052465585,2.991853148327597,161,10,-0.15,nooneve,"11-15,17-18",absbias,100
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,7,-0.3,nooneve,"11-15,17-18",absbias,300
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,10,-0.3,nooneve,"11-15,17-18",absbias,250
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,10,-0.3,nooneve,"11-15,17-18",absbias,300
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,14,-0.3,nooneve,"11-15,17-18",absbias,250
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,14,-0.3,nooneve,"11-15,17-18",absbias,300
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,21,-0.3,nooneve,"11-15,17-18",absbias,250
6.450754488415408,11.274869249164144,6.508937239061831,-47.76231226037731,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,7,21,-0.3,nooneve,"11-15,17-18",absbias,300
6.450766438403107,11.24619424612916,6.508949039137238,-48.02233682385669,50.03733114712966,35.942030714115155,1.558266052465585,2.991853148327597,153,7,-0.3,day,10-18,absbias,150
6.45079241966941,11.274869249164144,6.508974694469213,-48.098425766664796,50.76892394720459,36.43811308984296,1.558266052465585,2.991853148327597,21,7,-0.2,nooneve,"11-15,17-18",absbias,250
