date,cur,lag24,lag48,lag24_adv,lag48_adv
2026-05-04,6.884998095308167,39.673900935689886,37.70057923659587,-32.788902840381716,-30.815581141287705
2026-05-05,7.014616882432708,32.11729492907648,38.80612067843664,-25.10267804664377,-31.791503796003934
2026-05-06,4.246223121804908,20.617192580117322,25.28557437293169,-16.370969458312416,-21.03935125112678
2026-05-07,6.50248243171838,15.318858011617337,22.19682294474932,-8.816375579898956,-15.69434051303094
2026-05-08,4.950473031968474,17.468712035416452,21.12221764645321,-12.518239003447977,-16.171744614484734
2026-05-09,6.725967959677287,26.317804417007633,36.03957600555117,-19.591836457330345,-29.31360804587388
2026-05-10,4.094200335699604,20.66041945560018,31.9510139322723,-16.566219119900577,-27.856813596572696
2026-05-11,7.839998604847838,40.71013352628945,42.315533917927475,-32.87013492144161,-34.47553531307964
2026-05-12,6.187662820706581,23.111435681932424,35.752785052973586,-16.923772861225842,-29.565122232267004
2026-05-13,6.668489997663615,31.16861208151566,33.22169273008588,-24.500122083852048,-26.553202732422264
2026-05-14,9.427777282965687,104.15153210334137,60.490139124518414,-94.72375482037567,-51.06236184155273
2026-05-15,7.855390457336709,46.50236041825203,34.46605929934331,-38.64696996091532,-26.610668842006596
2026-05-16,5.64056064240157,57.26857067050537,65.56312077010608,-51.6280100281038,-59.922560127704514
2026-05-17,4.499741282094381,14.00062159458436,53.698973397694274,-9.50088031248998,-49.19923211559989
2026-05-18,6.201157523912429,43.50286170262838,46.52975392128702,-37.30170417871595,-40.32859639737459
