wmape_3m,wmape_14d,wmape_all,mode,window,stat,hours,gate,threshold,alpha,applied,delta_3m,delta_14d
7.070941132574311,13.090967408794866,7.1233695524847125,daily,1,mean,night,adv,-2,0.2,16,-0.004758539307507803,-0.0354581298292711
7.070941132574311,13.090967408794866,7.1233695524847125,daily,1,mean,night,adv,0,0.2,16,-0.004758539307507803,-0.0354581298292711
7.07104892503808,13.091770621488497,7.123475992694757,daily,1,mean,day,adv,1,0.1,8,-0.004650746843738673,-0.03465491713564006
7.07104892503808,13.091770621488497,7.123475992694757,daily,1,mean,day,adv,2,0.1,8,-0.004650746843738673,-0.03465491713564006
7.07104892503808,13.091770621488497,7.123475992694757,daily,1,mean,day,adv,3,0.1,8,-0.004650746843738673,-0.03465491713564006
7.071659442402639,13.096319875487811,7.124078851134465,daily,2,mean,night,adv,-2,0.1,8,-0.00404022947917948,-0.030105663136325234
7.071659442402639,13.096319875487811,7.124078851134465,daily,2,mean,night,adv,0,0.1,8,-0.00404022947917948,-0.030105663136325234
7.071659442402639,13.096319875487811,7.124078851134465,daily,2,mean,night,adv,1,0.1,8,-0.00404022947917948,-0.030105663136325234
7.071659442402639,13.096319875487811,7.124078851134465,daily,2,mean,night,adv,2,0.1,8,-0.00404022947917948,-0.030105663136325234
7.071840767798168,13.09767101687816,7.124257901807504,daily,1,mean,all,adv,1,0.15,24,-0.0038589040836507493,-0.028754521745977257
7.071840767798168,13.09767101687816,7.124257901807504,daily,1,mean,all,adv,2,0.15,24,-0.0038589040836507493,-0.028754521745977257
7.071840767798168,13.09767101687816,7.124257901807504,daily,1,mean,all,adv,3,0.15,24,-0.0038589040836507493,-0.028754521745977257
7.07203032053979,13.099083464120403,7.124445076614794,daily,1,mean,night,adv,-2,0.15,16,-0.003669351342028726,-0.027342074503733826
7.07203032053979,13.099083464120403,7.124445076614794,daily,1,mean,night,adv,0,0.15,16,-0.003669351342028726,-0.027342074503733826
7.072741788329173,13.104384947541057,7.125147619058805,daily,1,mean,peakerr,adv,1,0.05,13,-0.0029578835526455904,-0.022040591083079875
7.072741788329173,13.104384947541057,7.125147619058805,daily,1,mean,peakerr,adv,2,0.05,13,-0.0029578835526455904,-0.022040591083079875
7.072741788329173,13.104384947541057,7.125147619058805,daily,1,mean,peakerr,adv,3,0.05,13,-0.0029578835526455904,-0.022040591083079875
7.0727712958702265,13.104604822203006,7.1251767564285045,daily,1,mean,all,adv,1,0.1,24,-0.0029283760115923485,-0.02182071642113037
7.0727712958702265,13.104604822203006,7.1251767564285045,daily,1,mean,all,adv,2,0.1,24,-0.0029283760115923485,-0.02182071642113037
7.0727712958702265,13.104604822203006,7.1251767564285045,daily,1,mean,all,adv,3,0.1,24,-0.0029283760115923485,-0.02182071642113037
7.073119508505273,13.107199519445945,7.125520600744875,daily,1,mean,night,adv,-2,0.1,16,-0.0025801633765460963,-0.019226019178191223
7.073119508505273,13.107199519445945,7.125520600744875,daily,1,mean,night,adv,0,0.1,16,-0.0025801633765460963,-0.019226019178191223
7.073374298459949,13.109098080056317,7.125772194366033,daily,1,mean,day,adv,1,0.05,8,-0.002325373421870225,-0.01732745856782003
7.073374298459949,13.109098080056317,7.125772194366033,daily,1,mean,day,adv,2,0.05,8,-0.002325373421870225,-0.01732745856782003
7.073374298459949,13.109098080056317,7.125772194366033,daily,1,mean,day,adv,3,0.05,8,-0.002325373421870225,-0.01732745856782003
7.073569480606115,13.110552474657652,7.125964927957126,daily,2,mean,night,adv,-2,0.05,8,-0.0021301912757039076,-0.01587306396648458
7.073569480606115,13.110552474657652,7.125964927957126,daily,2,mean,night,adv,0,0.05,8,-0.0021301912757039076,-0.01587306396648458
7.073569480606115,13.110552474657652,7.125964927957126,daily,2,mean,night,adv,1,0.05,8,-0.0021301912757039076,-0.01587306396648458
7.073569480606115,13.110552474657652,7.125964927957126,daily,2,mean,night,adv,2,0.05,8,-0.0021301912757039076,-0.01587306396648458
7.073639308832506,13.111072797840276,7.126033880190189,daily,1,mean,evening,adv,-2,0.55,10,-0.0020603630493125635,-0.015352740783860952
7.073639308832506,13.111072797840276,7.126033880190189,daily,1,mean,evening,adv,0,0.55,10,-0.0020603630493125635,-0.015352740783860952
7.073817186947926,13.112398251914046,7.126209526829161,daily,1,mean,all,adv,1,0.05,24,-0.0018824849338932026,-0.014027286710090792
7.073817186947926,13.112398251914046,7.126209526829161,daily,1,mean,all,adv,2,0.05,24,-0.0018824849338932026,-0.014027286710090792
7.073817186947926,13.112398251914046,7.126209526829161,daily,1,mean,all,adv,3,0.05,24,-0.0018824849338932026,-0.014027286710090792
7.073825416673915,13.112459575499658,7.126217653313447,daily,1,mean,evening,adv,-2,0.4,10,-0.00187425520790363,-0.01396596312447862
7.073825416673915,13.112459575499658,7.126217653313447,daily,1,mean,evening,adv,0,0.4,10,-0.00187425520790363,-0.01396596312447862
7.073866008486439,13.133852206510301,7.126257735902712,hour,7,mean,day,adv_abs,0,0.05,14,-0.0018336633953799364,0.007426667886164751
7.073866008486439,13.133852206510301,7.126257735902712,hour,7,mean,midday,adv_abs,0,0.05,14,-0.0018336633953799364,0.007426667886164751
7.0739494885681875,13.113384093939242,7.126340168728955,daily,1,mean,evening,adv,-2,0.3,10,-0.0017501833136313039,-0.013041444684894543
7.0739494885681875,13.113384093939242,7.126340168728955,daily,1,mean,evening,adv,0,0.3,10,-0.0017501833136313039,-0.013041444684894543
7.07407356046246,13.114308612378828,7.12646268414446,daily,1,mean,evening,adv,-2,0.2,10,-0.0016261114193589776,-0.01211692624530869
7.07407356046246,13.114308612378828,7.12646268414446,daily,1,mean,evening,adv,0,0.2,10,-0.0016261114193589776,-0.01211692624530869
7.074129149181334,13.142483036193974,7.126517575504267,hour,7,mean,day,adv_abs,0,0.1,14,-0.0015705227004847444,0.016057497569837764
7.074129149181334,13.142483036193974,7.126517575504267,hour,7,mean,midday,adv_abs,0,0.1,14,-0.0015705227004847444,0.016057497569837764
7.074135596409596,13.11477087159862,7.126523941852215,daily,1,mean,evening,adv,-2,0.15,10,-0.0015640754722223704,-0.011654667025515764
7.074135596409596,13.11477087159862,7.126523941852215,daily,1,mean,evening,adv,0,0.15,10,-0.0015640754722223704,-0.011654667025515764
7.074187281974114,13.137509223080752,7.126574979022633,hour,7,mean,peakerr,adv_abs,0,0.05,23,-0.0015123899077051917,0.011083684456615117
7.074197632356732,13.115233130818412,7.126585199559966,daily,1,mean,evening,adv,-2,0.1,10,-0.0015020395250866514,-0.011192407805724613
7.074197632356732,13.115233130818412,7.126585199559966,daily,1,mean,evening,adv,0,0.1,10,-0.0015020395250866514,-0.011192407805724613
7.074220887700227,13.115406417395562,7.126608163165765,daily,1,mean,evening,adv,-2,0.7,10,-0.0014787841815921965,-0.011019121228574846
7.074220887700227,13.115406417395562,7.126608163165765,daily,1,mean,evening,adv,0,0.7,10,-0.0014787841815921965,-0.011019121228574846
7.074299513657431,13.115992296636719,7.1266858027623305,daily,1,mean,night,adv,-2,0.05,16,-0.0014001582243876598,-0.010433241987417574
7.074299513657431,13.115992296636719,7.1266858027623305,daily,1,mean,night,adv,0,0.05,16,-0.0014001582243876598,-0.010433241987417574
7.074456628120469,13.117588061529162,7.126840946228416,daily,1,mean,evening,adv,-5,0.05,40,-0.0012430437613497602,-0.008837477094974844
7.074465848496185,13.117231736289636,7.126850050934753,daily,1,mean,evening,adv,-2,0.05,10,-0.0012338233856334924,-0.009193802334500845
7.074465848496185,13.117231736289636,7.126850050934753,daily,1,mean,evening,adv,0,0.05,10,-0.0012338233856334924,-0.009193802334500845
7.074771696156684,13.149797069334879,7.127152061744109,hour,7,mean,peakerr,adv_abs,0,0.1,23,-0.0009279757251343668,0.02337153071074205
7.0755454767119,13.126425538624137,7.127916135241887,hour,21,median,evening,adv_abs,0,0.05,21,-0.00015419516991865834,0.0
7.075906975653797,13.123900683523923,7.128273099188727,daily,3,mean,midday,adv,-5,0.05,12,0.00020730377197786254,-0.0025248551002139408
7.075997575959294,13.135597939600697,7.128362562915688,hour,1,mean,midday,adv_abs,800,0.05,8,0.00029790407747487535,0.009172400976559913
7.075997575959294,13.135597939600697,7.128362562915688,hour,1,median,midday,adv_abs,800,0.05,8,0.00029790407747487535,0.009172400976559913
7.076143226464046,13.126425538624137,7.128506386238554,hour,14,median,evening,adv_abs,0,0.05,19,0.0004435545822270015,0.0
7.076195079672059,13.121375828423707,7.128557588949389,daily,3,mean,midday,adv,-5,0.1,12,0.0004954077902405984,-0.005049710200429658
7.076220563959003,13.129616900805086,7.128582753536598,daily,1,mean,night,adv,-5,0.05,64,0.0005208920771844205,0.0031913621809493975
7.076238981223051,13.1216758827693,7.128600939756537,hour,1,mean,evening,adv_abs,300,0.05,13,0.0005393093412324745,-0.004749655854837442
7.076238981223051,13.1216758827693,7.128600939756537,hour,1,median,evening,adv_abs,300,0.05,13,0.0005393093412324745,-0.004749655854837442
7.076292987338949,13.126425538624137,7.128654268367081,hour,7,mean,evening,adv_abs,0,0.05,11,0.0005933154571300392,0.0
7.076429704933135,13.131865360603207,7.128789270842514,daily,1,mean,night,adv,1,0.05,8,0.0007300330513162478,0.005439821979070558
7.076429704933135,13.131865360603207,7.128789270842514,daily,1,mean,night,adv,2,0.05,8,0.0007300330513162478,0.005439821979070558
7.076429704933135,13.131865360603207,7.128789270842514,daily,1,mean,night,adv,3,0.05,8,0.0007300330513162478,0.005439821979070558
7.076483183690323,13.118850973323493,7.12884207871005,daily,3,mean,midday,adv,-5,0.15,12,0.0007835118085042225,-0.007574565300643599
7.076728051561915,13.135597939600697,7.129083874720404,hour,1,mean,day,adv_abs,800,0.05,9,0.0010283796800960587,0.009172400976559913
7.076728051561915,13.135597939600697,7.129083874720404,hour,1,median,day,adv_abs,800,0.05,9,0.0010283796800960587,0.009172400976559913
7.076745204318247,13.126425538624137,7.129100812295842,hour,21,median,evening,adv_abs,0,0.1,21,0.0010455324364277985,0.0
7.076771287708586,13.116326118223276,7.129126568470712,daily,3,mean,midday,adv,-5,0.2,12,0.0010716158267669584,-0.010099420400861092
7.076864964737581,13.118894975598284,7.129219070323753,daily,1,mean,evening,adv,-5,0.1,40,0.0011652928557621678,-0.0075305630258526435
7.076886302796079,13.126425538624137,7.129240140696849,hour,7,mean,evening,adv_abs,0,0.1,11,0.0011866309142600784,0.0
7.077075491594736,13.151113865877647,7.129426956126828,hour,7,mean,day,adv_abs,0,0.15,14,0.0013758197129174476,0.024688327253510778
7.077075491594736,13.151113865877647,7.129426956126828,hour,7,mean,midday,adv_abs,0,0.15,14,0.0013758197129174476,0.024688327253510778
7.077093904418613,13.146576583273523,7.129445137962295,hour,1,mean,midday,adv_abs,800,0.1,8,0.001394232536794604,0.020151044649386662
7.077093904418613,13.146576583273523,7.129445137962295,hour,1,median,midday,adv_abs,800,0.1,8,0.001394232536794604,0.020151044649386662
7.077111982425557,13.136949333297872,7.129462989181102,daily,1,mean,peakerr,adv,-2,0.05,26,0.0014123105437384709,0.010523794673735765
7.077111982425557,13.136949333297872,7.129462989181102,daily,1,mean,peakerr,adv,0,0.05,26,0.0014123105437384709,0.010523794673735765
7.077159737984452,13.13730518258227,7.12951014564772,daily,1,mean,night,adv,1,0.1,8,0.0014600661026333839,0.010879643958134011
7.077159737984452,13.13730518258227,7.12951014564772,daily,1,mean,night,adv,2,0.1,8,0.0014600661026333839,0.010879643958134011
7.077159737984452,13.13730518258227,7.12951014564772,daily,1,mean,night,adv,3,0.1,8,0.0014600661026333839,0.010879643958134011
7.0771947839865526,13.137566326940279,7.129544751998614,daily,1,mean,all,adv,-2,0.05,48,0.0014951121047337423,0.011140788316142292
7.0771947839865526,13.137566326940279,7.129544751998614,daily,1,mean,all,adv,0,0.05,48,0.0014951121047337423,0.011140788316142292
7.07734749574511,13.111276408022846,7.1296955479920365,daily,3,mean,midday,adv,-5,0.3,12,0.001647823863291542,-0.01514913060129075
7.077368400574667,13.137666843633491,7.129716190571034,hour,7,mean,all,adv_abs,0,0.05,45,0.0016687286928478429,0.011241305009354718
7.077394230359432,13.12151588601192,7.129741696321804,hour,1,mean,evening,adv_abs,300,0.1,13,0.0016945584776131284,-0.00490965261221632
7.077394230359432,13.12151588601192,7.129741696321804,hour,1,median,evening,adv_abs,300,0.1,13,0.0016945584776131284,-0.00490965261221632
7.077479618253209,13.126425538624137,7.129826013026619,hour,7,mean,evening,adv_abs,0,0.15,11,0.0017799463713901176,0.0
