3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_window,stat,adv_thr,alpha,hours_name,hours
6.363082300547291,11.089980569350253,6.422364896566672,-49.55574003416001,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,4,5,median,250,0.1,peakerr,peakerr
6.363090454291043,11.084171950468098,6.4223729480219145,-49.26952768471339,49.12576209697405,34.34662188394294,1.5505500562664434,2.948319076740572,65,13,median,0,-0.1,night,night
6.3631810634003,11.086100854196559,6.422462420442194,-49.287164754466126,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,14,8,mean,-250,0.05,h78917,"7-9,17"
6.363185392542905,11.090985212042929,6.422466695275815,-47.80557344699069,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,5,21,mean,-100,-0.3,peakerr,peakerr
6.363203894661791,10.99508956468514,6.422484965286087,-49.10958626560196,49.12576209697405,34.34662188394294,1.5505500562664434,2.9463624674131785,19,2,mean,250,-0.2,night,night
6.363203894661791,10.99508956468514,6.422484965286087,-49.10958626560196,49.12576209697405,34.34662188394294,1.5505500562664434,2.9463624674131785,19,2,median,250,-0.2,night,night
6.363213523352027,11.093828981562371,6.422494473184649,-49.79879536609025,49.12576209697405,34.34662188394294,1.5505500562664434,2.952601486304709,72,8,median,0,-0.1,night,night
6.363217125248035,11.090985212042929,6.422498029894963,-49.56329375732812,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,2,5,median,250,0.1,day,day
6.363220290095624,11.066158568178425,6.42250115503962,-49.321055535728995,49.12576209697405,34.34662188394294,1.5505500562664434,2.9495607850935324,6,2,mean,500,-0.1,night,night
6.363220290095624,11.066158568178425,6.42250115503962,-49.321055535728995,49.12576209697405,34.34662188394294,1.5505500562664434,2.9495607850935324,6,2,median,500,-0.1,night,night
6.363261866080699,11.144999637958373,6.422542209455016,-49.28565295543772,48.939418363705904,35.04719366641471,1.5758084063303492,2.9559948458120466,375,3,median,-250,0.05,peakerr,peakerr
6.363281454828723,11.10352187312645,6.422561552462694,-50.36890427439789,49.13558643277687,34.855135240283616,1.5505500562664434,2.9494456441532266,58,8,mean,-100,0.1,day,day
6.363299995101792,11.090997062737843,6.422579860148506,-49.32552110879088,49.126015414027876,34.34699717508774,1.5505500562664434,2.9494456441532266,4,3,median,500,-0.2,day,day
6.3633303617613,11.066978764284812,6.422609845859043,-48.849805198695734,49.12576209697405,34.34662188394294,1.5505500562664434,2.9417055822581477,9,5,median,100,-0.3,night,night
6.36333466653879,11.090985212042929,6.4226140966332075,-50.60767672514721,48.94503360817827,34.34662188394294,1.5505500562664434,2.9494456441532266,43,13,mean,-100,0.1,peakerr,peakerr
6.36340677771895,11.094540587098244,6.42268530318044,-49.14327161001342,49.12576209697405,34.34662188394294,1.5505500562664434,2.9494456441532266,45,5,median,0,0.05,morning,morning
