candidate,signal,op,threshold,hours,alpha,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,11-15,0.15,37,6.079307561961871,10.610586355899166,6.14215010487872,2,median
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,day,0.1,49,6.079326822095969,10.594881102116926,6.142169123394925,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,lowday,0.1,49,6.079326822095969,10.594881102116926,6.142169123394925,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,midday,0.1,49,6.079326822095969,10.594881102116926,6.142169123394925,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,11-15,0.1,49,6.079326822095969,10.594881102116926,6.142169123394925,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-50.0,10-16,0.1,49,6.079326822095969,10.594881102116926,6.142169123394925,5,mean
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.03,540,6.0793552548152805,10.63283249552129,6.142197199426494,3,mean
f_rolling_mean_hour_7d,absdiff,le,1000.0,morning,-0.1,156,6.0793635928845084,10.59461557169031,6.141871321194102,0,none
f_price_lag_168,hour_adv_abs,ge,0.0,11-15,0.1,42,6.0793706452581375,10.593971827027808,6.142212396796635,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,11-15,0.1,42,6.0793706452581375,10.593971827027808,6.142212396796635,2,median
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.02,534,6.079441677689135,10.613333047893583,6.142282538127587,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,11-15,0.05,42,6.0794479761090745,10.593971827027808,6.142288757534009,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,11-15,0.05,42,6.0794479761090745,10.593971827027808,6.142288757534009,2,median
f_rolling_mean_hour_7d,absdiff,le,1500.0,night,-0.08,493,6.079463962134856,10.595593878075423,6.141552404215099,0,none
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,evening,-0.3,15,6.079496384990208,10.38636995408202,6.1423365591269565,2,mean
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,19-23,-0.3,15,6.079496384990208,10.38636995408202,6.1423365591269565,2,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,day,0.1,17,6.079516879323575,10.594881102116926,6.142356796359432,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,lowday,0.1,17,6.079516879323575,10.594881102116926,6.142356796359432,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,midday,0.1,17,6.079516879323575,10.594881102116926,6.142356796359432,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,11-15,0.1,17,6.079516879323575,10.594881102116926,6.142356796359432,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,0.0,10-16,0.1,17,6.079516879323575,10.594881102116926,6.142356796359432,5,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,midday,0.15,71,6.079600331889072,10.612432373495356,6.142439202014609,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,midday,0.15,71,6.079600331889072,10.612432373495356,6.142439202014609,2,median
f_price_lag_48,hour_adv_abs,ge,-500.0,12-13,0.1,50,6.079664193760942,10.597127622295343,6.142502262740918,21,median
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.08,43,6.079681443853196,10.605846735057634,6.142519296431201,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.08,43,6.079681443853196,10.605846735057634,6.142519296431201,2,median
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,day,0.15,60,6.079722198342882,10.59970344973307,6.142559539656848,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,lowday,0.15,60,6.079722198342882,10.59970344973307,6.142559539656848,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,midday,0.15,60,6.079722198342882,10.59970344973307,6.142559539656848,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,11-15,0.15,60,6.079722198342882,10.59970344973307,6.142559539656848,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,10-16,0.15,60,6.079722198342882,10.59970344973307,6.142559539656848,5,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.05,151,6.07973103882761,10.592458073170565,6.1425682692379215,1,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.05,151,6.07973103882761,10.592458073170565,6.1425682692379215,1,median
f_price_lag_48,absdiff,ge,5000.0,night,-0.03,45,6.079820856388383,10.597038249891483,6.142656960039671,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,midday,0.1,94,6.079835299165513,10.608495908860846,6.142671221632528,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,midday,0.1,94,6.079835299165513,10.608495908860846,6.142671221632528,2,median
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.08,39,6.079856844472288,10.593971827027808,6.142692496653977,21,median
