kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,nooneve,wmape,50,-0.08,191,6.015689134207148,10.322398718750742,6.078828601135338,2,mean
hourbias,nooneve,wmape,50,-0.08,191,6.015689134207148,10.322398718750742,6.078828601135338,2,median
hourbias,peakerr,wmape,50,-0.15,349,6.015755744818842,10.34218454544499,6.0788943761185985,8,mean
hourbias,midday,wmape,25,-0.08,305,6.015783073928337,10.34406072307182,6.078921362385109,2,mean
hourbias,midday,wmape,25,-0.08,305,6.015783073928337,10.34406072307182,6.078921362385109,2,median
hourbias,evening,absbias,50,0.2,299,6.01584369148564,10.349180997253269,6.078981219496691,13,mean
hourbias,day,wmape,40,-0.1,270,6.015867356037872,10.34059593030995,6.079004587177717,2,mean
hourbias,day,wmape,40,-0.1,270,6.015867356037872,10.34059593030995,6.079004587177717,2,median
hourbias,peakerr,wmape,50,-0.08,223,6.015889156779497,10.334776222012074,6.079026114429591,2,mean
hourbias,peakerr,wmape,50,-0.08,223,6.015889156779497,10.334776222012074,6.079026114429591,2,median
hourbias,evening,absbias,50,0.15,299,6.015899457910319,10.34793680037207,6.079036286332987,13,mean
hourbias,day,wmape,30,-0.2,311,6.015902291681817,10.347098006603092,6.0790390845548945,2,mean
hourbias,day,wmape,30,-0.2,311,6.015902291681817,10.347098006603092,6.0790390845548945,2,median
hourbias,morning,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,mean
hourbias,7-10,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,mean
hourbias,8-10,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,mean
hourbias,morning,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,median
hourbias,7-10,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,median
hourbias,8-10,wmape,50,-0.1,35,6.0159065628780555,10.316426356362841,6.079043302169084,2,median
hourbias,12-13,wmape,30,-0.3,113,6.015930028719704,10.322842217473967,6.079066473632346,3,mean
hourbias,lowday,wmape,25,-0.08,335,6.01594635931487,10.330653252691116,6.07908259936061,2,mean
hourbias,10-16,wmape,25,-0.08,335,6.01594635931487,10.330653252691116,6.07908259936061,2,mean
hourbias,lowday,wmape,25,-0.08,335,6.01594635931487,10.330653252691116,6.07908259936061,2,median
hourbias,10-16,wmape,25,-0.08,335,6.01594635931487,10.330653252691116,6.07908259936061,2,median
hourbias,day,wmape,40,-0.15,270,6.015963512338616,10.346155730194464,6.079099537200109,2,mean
hourbias,day,wmape,40,-0.15,270,6.015963512338616,10.346155730194464,6.079099537200109,2,median
