wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.0334688050670895,12.847845692919144,7.086367314375565,midday,absdiff_le,50.0,1.0,93,-0.005444659033203791,-0.004468391085740819
7.033487472585066,12.857634897274073,7.086385747710001,all,absdiff_le,200.0,0.15,496,-0.005425991515227047,0.005320813269188207
7.033496383720967,12.868486138388974,7.0863945470559315,peakerr,absdiff_le,150.0,0.4,264,-0.005417080379325867,0.016172054384089307
7.033506026212168,12.816493927827954,7.086432670919075,day,reldiff_le,0.03,-0.1,275,-0.005407437888125699,-0.03582015617693024
7.033543241311806,12.872676364635439,7.086440816819479,night,reldiff_le,0.02,0.55,186,-0.005370222788487311,0.020362280630553897
7.033669078397822,12.848822316884528,7.086565075282443,peakerr,absdiff_le,50.0,0.7,159,-0.005244385702471099,-0.0034917671203569256
7.033713164533725,12.850320931625653,7.08660860835889,night,absdiff_le,200.0,0.2,168,-0.005200299566568312,-0.0019931523792315886
7.033775871077602,12.858077536978453,7.086670528250765,all,reldiff_le,0.01,0.2,399,-0.005137593022690901,0.005763452973567951
7.033858291362908,12.795936478435271,7.08555929032587,night,absdiff_le,1000.0,-0.1,425,-0.005055172737384872,-0.056377605569613465
7.033873899283856,12.846228026761269,7.086767326695659,all,ratio_le,0.02,0.2,283,-0.005039564816437192,-0.006086057243615883
7.0339658752312655,12.844554728157426,7.08685814880714,night,reldiff_le,0.01,0.4,125,-0.004947588869027797,-0.007759355847458238
7.034027956810308,12.878229713898317,7.08691945157435,night,reldiff_le,0.02,0.7,186,-0.004885507289984936,0.02591562989343288
7.034045782530082,12.85912707724245,7.086937053670921,midday,absdiff_le,100.0,0.55,132,-0.004867681570210891,0.006812993237565124
7.034065669780371,12.849119748950578,7.086956691436157,all,absdiff_le,50.0,0.3,277,-0.004847794319922549,-0.003194335054306663
7.034075729619582,12.854238656816339,7.0869666250749415,all,absdiff_le,150.0,0.1,439,-0.00483773448071112,0.0019245728114540839
7.034116071243654,12.848629451613256,7.087006460614363,night,absdiff_le,50.0,1.0,99,-0.004797392856639604,-0.0036846323916286394
7.034127401117633,12.850565007704656,7.087017648355361,all,reldiff_le,0.005,0.55,282,-0.004786062982660155,-0.0017490763002285803
