rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
8,-0.2,evening,wmape,10,60,6.102976961065455,10.626200085999987,6.165522571970935,-38.937359653054564,-0.00174610268283093,-0.018111767624407804,-0.0017241978689659376
8,0.05,midday,none,0,552,6.102980121727776,10.645887381027078,6.165525692982827,-38.88244482662274,-0.0017429420205097301,0.0015755274026840738,-0.0017210768570734558
14,1.5,all,wmape,12,24,6.102981688278057,10.631336040351725,6.165527239880776,-38.53189723332957,-0.0017413754702282347,-0.012975813272669612,-0.0017195299591250546
14,2.0,evening,wmape,12,5,6.102981688278057,10.631336040351725,6.165527239880776,-38.97092959703389,-0.0017413754702282347,-0.012975813272669612,-0.0017195299591250546
3,0.2,nooneve,wmape,15,19,6.102982987169749,10.631345719008829,6.1655285224779055,-39.44712081378363,-0.0017400765785362537,-0.012966134615565394,-0.0017182473619952177
34,0.05,day,none,0,644,6.10298869155161,10.644775454370466,6.165534155298439,-38.889477672949795,-0.0017343721966760484,0.0004636007460714353,-0.0017126145414616545
14,0.3,midday,wmape,10,36,6.1029918686610705,10.644461356501601,6.165537292551141,-39.46685637084088,-0.0017311950872151982,0.00014950287720694178,-0.0017094772887595866
1,0.05,coremid,wmape,15,20,6.102995783142623,10.643543863973768,6.165541157925622,-38.97651796920996,-0.001727280605662962,-0.0007679896506260775,-0.0017056119142786486
5,-0.3,evening,wmape,10,55,6.103000121497995,10.626372665350676,6.165545441856437,-38.65729354651674,-0.001722942250290238,-0.017939188273718543,-0.0017013279834641182
21,0.05,day,none,0,644,6.1030089351307115,10.644549731879174,6.165554144922355,-38.93925204702019,-0.00171412861757414,0.00023787825477938895,-0.0016926249175455155
3,0.05,nooneve,none,0,1748,6.103010406410265,10.642911277581693,6.165555597744743,-38.24479561833426,-0.0017126573380208399,-0.0014005760427018288,-0.001691172095157789
14,0.05,midday,none,0,552,6.1030285690526185,10.644285245761157,6.165573532537209,-38.97181461226643,-0.0016944946956671814,-2.6607863237160245e-05,-0.0016732373026915326
