3m,14d,all,bias3,low,summer,cap,eve,applied,mode,rolling_window,stat,adv_thr,metric,op,sim_thr,alpha,hours
6.4152316415989565,11.16110946078361,6.473860025457635,-49.071592156456404,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,6,daily,1,mean,1.0,ratio,le,0.05,1.0,midday
6.4152316415989565,11.16110946078361,6.473860025457635,-49.071592156456404,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,7,daily,1,mean,2.0,ratio,le,0.05,1.0,lowday
6.4152316415989565,11.16110946078361,6.473860025457635,-49.071592156456404,49.72559791633402,35.497560176475254,1.558266052465585,2.991853148327597,6,daily,1,mean,2.0,ratio,le,0.05,1.0,midday
6.415235474976236,11.295502761333568,6.47359022986505,-51.50607841318363,49.72559791633402,35.497560176475254,1.558266052465585,2.9880923169945817,584,similarity,2,mean,0.0,ratio,le,0.4,-0.05,night
6.415331101225616,11.232996364240668,6.473958237365801,-47.27210284116608,49.60669650472961,35.497560176475254,1.558266052465585,2.991853148327597,19,hour,21,mean,-250.0,ratio,le,0.05,-0.3,peakerr
6.41538226685721,11.224086684624218,6.474008761125846,-48.89662752279444,49.54506635867278,35.54468057551273,1.558266052465585,2.9896041782669713,157,hour,21,mean,-500.0,ratio,le,0.05,-0.05,all
6.415385917211017,11.192065623775944,6.4740123656860575,-49.54624568694995,48.9697819976991,34.11295590459887,1.558266052465585,2.991853148327597,22,hour,2,mean,100.0,ratio,le,0.05,-0.1,lowday
6.415385917211017,11.192065623775944,6.4740123656860575,-49.54624568694995,48.9697819976991,34.11295590459887,1.558266052465585,2.991853148327597,22,hour,2,median,100.0,ratio,le,0.05,-0.1,lowday
6.415554626605282,11.232996364240668,6.474178958625251,-50.698630636860834,49.72559791633402,35.497560176475254,1.558266052465585,2.9959363437932,8,similarity,2,mean,0.0,profile_abs,ge,4000.0,-0.1,night
6.415636311537304,11.176084391796293,6.474259618821872,-49.05605092692153,49.259637653688685,34.92355930321461,1.545335958094877,2.987643812984709,137,hour,13,mean,-500.0,ratio,le,0.05,-0.05,peakerr
6.415789439642543,11.178639174542644,6.474410825938914,-50.51237815012787,49.077814451568486,34.40543542351639,1.5605145001777296,2.9912576887828246,86,hour,2,mean,100.0,ratio,le,0.05,-0.05,all
6.415789439642543,11.178639174542644,6.474410825938914,-50.51237815012787,49.077814451568486,34.40543542351639,1.5605145001777296,2.9912576887828246,86,hour,2,median,100.0,ratio,le,0.05,-0.05,all
6.415806295144809,11.194030250925875,6.474427469989331,-50.52151693434296,48.948118290743885,35.21600412346908,1.5414540531702847,2.9903241782504977,305,hour,5,median,0.0,ratio,le,0.05,-0.05,all
6.415807980325196,11.118611347262735,6.474429134029173,-49.62553896015735,49.72559791633402,35.497560176475254,1.5012610602358114,2.9689246615217635,108,hour,5,mean,-500.0,ratio,le,0.05,-0.1,evening
6.415825276959741,11.210045599350215,6.474446213677878,-49.485777471725335,49.72569521284243,35.497560176475254,1.558266052465585,2.991853148327597,11,hour,8,mean,-100.0,ratio,le,0.05,-0.3,"7-9,11,17,18"
6.415835458603938,11.232996364240668,6.474456267593606,-50.382602164709496,49.67496923664888,35.497560176475254,1.558266052465585,2.987211377526077,13,daily,3,mean,-5.0,ratio,le,0.05,-0.1,peakerr
6.415899636987289,11.190658131652887,6.474519640860765,-49.61776601107661,49.72559791633402,35.497560176475254,1.532405863724169,2.9834344776418202,43,hour,13,mean,-500.0,ratio,le,0.05,-0.1,"0,7,8,9,17,21,22"
